rules,support,confidence,lift,itemset
{HERB-MARKER-THYME} => {HERB-MARKER-ROSEMARY},0.0102405623220021,0.94413407821229,86.0831198493781,3
{HERB-MARKER-ROSEMARY} => {HERB-MARKER-THYME},0.0102405623220021,0.933701657458563,86.0831198493781,3
{HERB-MARKER-ROSEMARY} => {HERB-MARKER-PARSLEY},0.0100587771920257,0.917127071823204,85.0300453162828,1
{HERB-MARKER-PARSLEY} => {HERB-MARKER-ROSEMARY},0.0100587771920257,0.932584269662921,85.0300453162828,1
{HERB-MARKER-ROSEMARY} => {HERB-MARKER-MINT},0.0100587771920257,0.917127071823204,82.2573264472736,2
{HERB-MARKER-MINT} => {HERB-MARKER-ROSEMARY},0.0100587771920257,0.902173913043478,82.2573264472736,2
{REGENCY-TEA-PLATE-ROSES} => {REGENCY-TEA-PLATE-GREEN},0.0116342483184875,0.724528301886792,52.6735267226332,5
{REGENCY-TEA-PLATE-GREEN} => {REGENCY-TEA-PLATE-ROSES},0.0116342483184875,0.845814977973568,52.6735267226332,5
{POPPY'S-PLAYHOUSE-LIVINGROOM} => {POPPY'S-PLAYHOUSE-BEDROOM},0.0102405623220021,0.808612440191388,51.3251196172249,13
{SET-OF-3-WOODEN-TREE-DECORATIONS} => {SET-OF-3-WOODEN-STOCKING-DECORATION},0.0104223474519784,0.751091703056769,49.7801862471721,69
